symbol,price,rsi,decision,volatility_atr,ts
BTC/USDT,69112.91,83.44709018557366,SELL,389.8807142857123,2026-04-05 20:37:26.926280
ETH/USDT,2119.68,78.84409014257264,SELL,17.17071428571426,2026-04-05 20:37:27.248420
BNB/USDT,603.66,69.3993199848885,SELL,3.3585714285714596,2026-04-05 20:37:27.566119
NEO/USDT,2.788,66.66666666666654,SELL,0.019785714285714327,2026-04-05 20:37:27.894893
LTC/USDT,54.06,80.20304568527965,SELL,0.274285714285714,2026-04-05 20:37:28.270879
QTUM/USDT,0.972,66.15384615384616,SELL,0.009928571428571422,2026-04-05 20:37:28.592612
ADA/USDT,0.251,76.2195121951219,SELL,0.002435714285714285,2026-04-05 20:37:28.944178
XRP/USDT,1.3273,66.50000000000001,SELL,0.010299999999999991,2026-04-05 20:37:29.262517
TUSD/USDT,0.9998,69.99999999999446,SELL,0.00017142857142863978,2026-04-05 20:37:29.576542
IOTA/USDT,0.0592,50.0,HOLD,0.0006000000000000004,2026-04-05 20:37:30.214676
XLM/USDT,0.1627,74.1176470588237,SELL,0.0012785714285714264,2026-04-05 20:37:30.607044
ONT/USDT,0.09205,42.705786471067654,HOLD,0.00206285714285714,2026-04-05 20:37:30.933222
TRX/USDT,0.319,65.21739130434798,SELL,0.0006571428571428641,2026-04-05 20:37:31.309358
ETC/USDT,8.83,83.33333333333333,SELL,0.09285714285714278,2026-04-05 20:37:31.639498
ICX/USDT,0.036,54.999999999999986,HOLD,0.0002928571428571438,2026-04-05 20:37:32.072695
VET/USDT,0.007444,47.37704918032787,HOLD,8.235714285714277e-05,2026-04-05 20:37:32.399505
USDC/USDT,1.0003,66.66666666666666,SELL,0.00011428571428570169,2026-04-05 20:37:32.716101
LINK/USDT,8.84,74.99999999999976,SELL,0.0785714285714288,2026-04-05 20:37:33.039194
ONG/USDT,0.092,38.7165021156558,HOLD,0.0019257142857142836,2026-04-05 20:37:33.357529
HOT/USDT,0.0004,58.06451612903231,HOLD,4.499999999999993e-06,2026-04-05 20:37:33.683959
ZIL/USDT,0.00383,66.66666666666666,SELL,2.5714285714285782e-05,2026-04-05 20:37:33.997136
ZRX/USDT,0.1021,59.25925925925928,HOLD,0.000857142857142854,2026-04-05 20:37:34.326795
FET/USDT,0.2353,74.15730337078654,SELL,0.002842857142857139,2026-04-05 20:37:36.574604
BAT/USDT,0.0952,58.139534883721005,HOLD,0.0006714285714285718,2026-04-05 20:37:36.897369
ZEC/USDT,244.99,43.14185228604925,HOLD,3.31,2026-04-05 20:37:37.227530
IOST/USDT,0.00107,67.39130434782602,SELL,6.857142857142869e-06,2026-04-05 20:37:37.566113
CELR/USDT,0.002431,62.595419847328216,HOLD,4.028571428571431e-05,2026-04-05 20:37:38.022825
DASH/USDT,30.45,56.97674418604648,HOLD,0.26499999999999957,2026-04-05 20:37:38.351798
THETA/USDT,0.155,30.769230769230774,BUY,0.002571428571428574,2026-04-05 20:37:38.673786
ENJ/USDT,0.01979,46.91358024691349,HOLD,0.00028571428571428574,2026-04-05 20:37:38.985538
ATOM/USDT,1.697,55.22388059701503,HOLD,0.010928571428571445,2026-04-05 20:37:39.322759
TFUEL/USDT,0.01122,60.00000000000014,HOLD,8.428571428571419e-05,2026-04-05 20:37:39.634427
ONE/USDT,0.0022,61.11111111111111,HOLD,2.5000000000000066e-05,2026-04-05 20:37:39.955367
ALGO/USDT,0.1219,72.93233082706763,SELL,0.0025714285714285717,2026-04-05 20:37:40.301133
DOGE/USDT,0.09227,75.19788918205816,SELL,0.0006421428571428579,2026-04-05 20:37:41.510256
DUSK/USDT,0.1076,54.83870967741939,HOLD,0.0014142857142857132,2026-04-05 20:37:42.048456
ANKR/USDT,0.0053,58.18181818181814,HOLD,7.857142857142865e-05,2026-04-05 20:37:42.360948
WIN/USDT,1.895e-05,46.376811594202856,HOLD,1.2071428571428614e-07,2026-04-05 20:37:42.779679
COS/USDT,0.00128,27.272727272727238,BUY,3.178571428571424e-05,2026-04-05 20:37:43.099165
MTL/USDT,0.283,50.0,HOLD,0.0022142857142856847,2026-04-05 20:37:43.893123
DENT/USDT,0.000174,50.0,HOLD,5.214285714285712e-06,2026-04-05 20:37:44.399527
WAN/USDT,0.06727,59.440559440559454,HOLD,0.0005171428571428578,2026-04-05 20:37:44.723121
FUN/USDT,0.001437,69.66292134831455,SELL,2.6642857142857132e-05,2026-04-05 20:37:45.415689
CVC/USDT,0.02998,53.84615384615383,HOLD,0.00025285714285714245,2026-04-05 20:37:46.200600
CHZ/USDT,0.03879,69.88636363636357,SELL,0.0003142857142857139,2026-04-05 20:37:46.529091
BAND/USDT,0.202,42.85714285714295,HOLD,0.0019999999999999996,2026-04-05 20:37:46.960414
XTZ/USDT,0.3452,61.486486486486555,HOLD,0.0024642857142857205,2026-04-05 20:37:47.279707
RVN/USDT,0.00573,53.57142857142858,HOLD,4.428571428571434e-05,2026-04-05 20:37:48.173219
HBAR/USDT,0.08809,65.99999999999986,SELL,0.0005307142857142881,2026-04-05 20:37:48.767916
STX/USDT,0.2133,66.33663366336646,SELL,0.0015928571428571459,2026-04-05 20:37:49.088828
